PERMNO,TICKER,CUSIP,COMNAM
86240,BCSB,05536710,B C S B BANCORP INC
86250,CFNL,14149F10,CARDINAL FINANCIAL CORP
86253,CITZ,12525D10,C F S BANCORP INC
86287,RBCAA,76028120,REPUBLIC BANCORP INC KY
86299,UCFC,90983910,UNITED COMMUNITY FINL CORP OHIO
86300,PCBS,74386S10,PROVIDENT COMMUNITY BANCSHRS INC
86302,HTBK,42692710,HERITAGE COMMERCE CORP
86382,BUSE,31938320,FIRST BUSEY CORP
86384,CCNE,12612810,C N B FINANCIAL CORP PA
86419,CBBO,19723110,COLUMBIA BANCORP ORE
86432,PRSP,74360610,PROSPERITY BANCSHARES INC
86432,PB,74360610,PROSPERITY BANCSHARES INC
86440,WIBC,97186T10,WILSHIRE BANCORP INC
86497,ECBE,26825310,E C B BANCORP INC
86512,SUPR,86806M20,SUPERIOR BANCORP
86526,CFBK,12520L10,CENTRAL FEDERAL CORP
86526,CFBK,12520L10,C F BANKSHARES INC
86531,MCBI,59165010,METROCORP BANCSHARES INC
86533,ONFC,68247910,ONEIDA FINANCIAL CORP
86533,ONFC,68247910,ONEIDA FINANCIAL CORP MD
86566,ALNC,01920510,ALLIANCE FINANCIAL CORP NY
86570,CSNT,22564610,CRESCENT BANKING CO
86573,FCAP,31942S10,FIRST CAPITAL INC
86574,FPFC,33610T10,FIRST PLACE FINANCIAL CORP NM
86582,PBNY,85917A10,PROVIDENT NEW YORK BANCORP
86582,STL,85917A10,STERLING BANCORP DEL
86685,CRBC,17442030,CITIZENS REPUBLIC BANCORP INC
86719,EWBC,27579R10,EAST WEST BANCORP INC
86793,YAVY,98430510,YADKIN VALLEY FINANCIAL CORP
86793,YDKN,98430510,YADKIN FINANCIAL CORP
86814,AMNB,02774510,AMERICAN NATIONAL BANKSHARES INC
86820,CFFN,14057J10,CAPITOL FEDERAL FINANCIAL
86820,CFFN,14057J10,CAPITOL FEDERAL FINANCIAL INC
86965,FISI,31758540,FINANCIAL INSTITUTIONS INC
87014,BSRR,82620P10,SIERRA BANCORP
87020,PVTB,74296210,PRIVATEBANCORP INC
87024,CTBK,17770A10,CITY BANK LYNNWOOD WASHINGTON
87039,BERK,08459720,BERKSHIRE BANCORP INC DEL
87067,FNLC,31866P10,FIRST BANCORP INC ME
87069,GCBC,39435710,GREENE COUNTY BANCORP INC
87070,HCBK,44368310,HUDSON CITY BANCORP INC
87114,MBWM,58737610,MERCANTILE BANK CORP
87269,CIZN,17471510,CITIZENS HOLDING CO
87318,EGBN,26894810,EAGLE BANCORP INC
87340,ROME,77587P10,ROME BANCORP INC
87476,BMRC,06342510,BANK OF MARIN BANCORP
87488,FBSS,31205910,FAUQUIER BANKSHARES INC
87501,MCBC,55422510,MACATAWA BANK CORP
87505,NKSH,63486510,NATIONAL BANKSHARES INC
87525,MFSF,62845B10,MUTUALFIRST FINL INC
87614,LBAI,51163710,LAKELAND BANCORP INC
87652,LNBB,50210010,L N B BANCORP INC
87843,CADE,12738A10,CADENCE FINANCIAL CORP
87952,GBCI,37637Q10,GLACIER BANCORP INC NEW
88183,OPOF,68019410,OLD POINT FINL CORP
88197,FULT,36027110,FULTON FINANCIAL CORP PA
88257,PFBX,71103B10,PEOPLES FINANCIAL CORP MS
88280,BHLB,08468010,BERKSHIRE HILLS BANCORP INC
88341,HWBK,42047610,HAWTHORN BANCSHARES INC
88343,PACW,69526310,PACWEST BANCORP DE
88367,PCBK,69412V10,PACIFIC CONTINENTAL CORP
88368,PMBC,69455210,PACIFIC MERCANTILE BANCORP
88384,USBI,33744V10,UNITED SECURITY BANCSHARES INC
