PERMNO,date,CUSIP,PRC,RET,SHROUT,CFACPR,CFACSHR
11786,2000-12-06,78486Q10,43.82813,0.072248,48884,1,1
11786,2000-12-07,78486Q10,42.50000,-0.030303,48884,1,1
11786,2000-12-08,78486Q10,42.50000,0.000000,48884,1,1
11786,2000-12-11,78486Q10,44.50000,0.047059,48884,1,1
11786,2000-12-12,78486Q10,34.75000,-0.219101,48884,1,1
11786,2000-12-13,78486Q10,33.62500,-0.032374,48884,1,1
11786,2000-12-14,78486Q10,34.68750,0.031599,48884,1,1
11786,2000-12-15,78486Q10,32.87500,-0.052252,48884,1,1
11786,2000-12-18,78486Q10,33.25000,0.011407,48884,1,1
11786,2000-12-19,78486Q10,34.68750,0.043233,48884,1,1
11786,2000-12-20,78486Q10,32.50000,-0.063063,48884,1,1
11786,2000-12-21,78486Q10,34.18750,0.051923,48884,1,1
11786,2000-12-22,78486Q10,37.89063,0.108318,48884,1,1
11786,2000-12-26,78486Q10,37.81250,-0.002062,48884,1,1
11786,2000-12-27,78486Q10,39.75000,0.051240,48884,1,1
11786,2000-12-28,78486Q10,39.56250,-0.004717,48884,1,1
11786,2000-12-29,78486Q10,34.56250,-0.126382,48978,1,1
11786,2001-01-02,78486Q10,31.25000,-0.095841,48978,1,1
11786,2001-01-03,78486Q10,38.00000,0.216000,48978,1,1
11786,2001-01-04,78486Q10,35.87500,-0.055921,48978,1,1
11786,2001-01-05,78486Q10,34.00000,-0.052265,48978,1,1
11786,2001-01-08,78486Q10,32.00000,-0.058824,48978,1,1
11786,2001-01-09,78486Q10,28.50000,-0.109375,48978,1,1
11786,2001-01-10,78486Q10,30.81250,0.081140,48978,1,1
11786,2001-01-11,78486Q10,33.68750,0.093306,48978,1,1
11786,2001-01-12,78486Q10,32.31250,-0.040816,48978,1,1
11786,2001-01-16,78486Q10,32.00000,-0.009671,48978,1,1
11786,2001-01-17,78486Q10,31.68750,-0.009766,48978,1,1
11786,2001-01-18,78486Q10,29.81250,-0.059172,48978,1,1
11786,2001-01-19,78486Q10,29.68750,-0.004193,48978,1,1
11786,2001-01-22,78486Q10,31.68750,0.067368,48978,1,1
11786,2001-01-23,78486Q10,32.18750,0.015779,48978,1,1
11786,2001-01-24,78486Q10,32.75000,0.017476,48978,1,1
11786,2001-01-25,78486Q10,33.00000,0.007634,48978,1,1
11786,2001-01-26,78486Q10,33.06250,0.001894,48978,1,1
11786,2001-01-29,78486Q10,33.68750,0.018904,48978,1,1
11786,2001-01-30,78486Q10,34.75000,0.031540,48978,1,1
11786,2001-01-31,78486Q10,32.50000,-0.064748,49313,1,1
11786,2001-02-01,78486Q10,32.06250,-0.013462,49313,1,1
11786,2001-02-02,78486Q10,31.50000,-0.017544,49313,1,1
11786,2001-02-05,78486Q10,30.62500,-0.027778,49313,1,1
11786,2001-02-06,78486Q10,30.00000,-0.020408,49313,1,1
11786,2001-02-07,78486Q10,29.81250,-0.006250,49313,1,1
11786,2001-02-08,78486Q10,31.00000,0.039832,49313,1,1
11786,2001-02-09,78486Q10,30.50000,-0.016129,49313,1,1
11786,2001-02-12,78486Q10,30.18750,-0.010246,49313,1,1
11786,2001-02-13,78486Q10,31.00000,0.026915,49313,1,1
11786,2001-02-14,78486Q10,31.75000,0.024194,49313,1,1
11786,2001-02-15,78486Q10,33.25000,0.047244,49313,1,1
11786,2001-02-16,78486Q10,31.62500,-0.048872,49313,1,1
11786,2001-02-20,78486Q10,30.18750,-0.045455,49336,1,1
11786,2001-02-21,78486Q10,30.06250,-0.004141,49336,1,1
11786,2001-02-22,78486Q10,29.18750,-0.029106,49336,1,1
11786,2001-02-23,78486Q10,27.93750,-0.042827,49336,1,1
11786,2001-02-26,78486Q10,29.12500,0.042506,49336,1,1
11786,2001-02-27,78486Q10,28.81250,-0.010730,49336,1,1
11786,2001-02-28,78486Q10,27.93750,-0.030369,49336,1,1
11786,2001-03-01,78486Q10,28.37500,0.015660,49336,1,1
11786,2001-03-02,78486Q10,29.93750,0.055066,49336,1,1
11786,2001-03-05,78486Q10,29.75000,-0.006263,49336,1,1
11786,2001-03-06,78486Q10,30.43750,0.023109,49336,1,1
11786,2001-03-07,78486Q10,29.93750,-0.016427,49336,1,1
11786,2001-03-08,78486Q10,29.37500,-0.018789,49336,1,1
11786,2001-03-09,78486Q10,29.12500,-0.008511,49336,1,1
11786,2001-03-12,78486Q10,26.75000,-0.081545,49336,1,1
11786,2001-03-13,78486Q10,27.37500,0.023364,49336,1,1
11786,2001-03-14,78486Q10,26.06250,-0.047945,49336,1,1
11786,2001-03-15,78486Q10,25.81250,-0.009592,49336,1,1
11786,2001-03-16,78486Q10,23.00000,-0.108959,49336,1,1
11786,2001-03-19,78486Q10,23.48438,0.021060,49336,1,1
11786,2001-03-20,78486Q10,23.68750,0.008649,49336,1,1
11786,2001-03-21,78486Q10,22.00000,-0.071240,49336,1,1
11786,2001-03-22,78486Q10,21.06250,-0.042614,49336,1,1
11786,2001-03-23,78486Q10,22.68750,0.077151,49336,1,1
11786,2001-03-26,78486Q10,24.18750,0.066116,49336,1,1
11786,2001-03-27,78486Q10,25.06250,0.036176,49336,1,1
11786,2001-03-28,78486Q10,23.81250,-0.049875,49336,1,1
11786,2001-03-29,78486Q10,23.56250,-0.010499,49336,1,1
11786,2001-03-30,78486Q10,23.50000,-0.002653,49473,1,1
11786,2001-04-02,78486Q10,22.31250,-0.050532,49473,1,1
11786,2001-04-03,78486Q10,21.25000,-0.047619,49473,1,1
11786,2001-04-04,78486Q10,18.06250,-0.150000,49473,1,1
11786,2001-04-05,78486Q10,19.87500,0.100346,49473,1,1
11786,2001-04-06,78486Q10,21.12500,0.062893,49473,1,1
11786,2001-04-09,78486Q10,21.29000,0.007811,49473,1,1
11786,2001-04-10,78486Q10,22.60000,0.061531,49473,1,1
11786,2001-04-11,78486Q10,22.92000,0.014159,49473,1,1
11786,2001-04-12,78486Q10,24.04000,0.048866,49473,1,1
11786,2001-04-16,78486Q10,23.28000,-0.031614,49473,1,1
11786,2001-04-17,78486Q10,23.59000,0.013316,49473,1,1
11786,2001-04-18,78486Q10,25.07000,0.062738,49473,1,1
11786,2001-04-19,78486Q10,26.40000,0.053051,49473,1,1
11786,2001-04-20,78486Q10,23.71000,-0.101894,49473,1,1
11786,2001-04-23,78486Q10,23.16000,-0.023197,49473,1,1
11786,2001-04-24,78486Q10,22.88000,-0.012090,49473,1,1
11786,2001-04-25,78486Q10,22.98000,0.004371,49473,1,1
11786,2001-04-26,78486Q10,23.31000,0.014360,49473,1,1
11786,2001-04-27,78486Q10,24.31000,0.042900,49473,1,1
11786,2001-04-30,78486Q10,25.06000,0.030852,49345,1,1
11786,2001-05-01,78486Q10,26.46000,0.055866,49345,1,1
11786,2001-05-02,78486Q10,27.87000,0.053288,49345,1,1
11786,2001-05-03,78486Q10,27.31000,-0.020093,49345,1,1
11786,2001-05-04,78486Q10,27.46000,0.005492,49345,1,1
11786,2001-05-07,78486Q10,27.17000,-0.010561,49345,1,1
11786,2001-05-08,78486Q10,27.16000,-0.000368,49345,1,1
11786,2001-05-09,78486Q10,27.00000,-0.005891,49345,1,1
11786,2001-05-10,78486Q10,27.60000,0.022222,49345,1,1
11786,2001-05-11,78486Q10,27.48000,-0.004348,49345,1,1
11786,2001-05-14,78486Q10,27.75000,0.009825,49345,1,1
11786,2001-05-15,78486Q10,27.77000,0.000721,49345,1,1
11786,2001-05-16,78486Q10,29.26000,0.053655,49345,1,1
11786,2001-05-17,78486Q10,31.65000,0.081681,49345,1,1
11786,2001-05-18,78486Q10,30.02000,-0.051501,49345,1,1
11786,2001-05-21,78486Q10,29.97000,-0.001666,49345,1,1
11786,2001-05-22,78486Q10,30.32000,0.011678,49345,1,1
11786,2001-05-23,78486Q10,29.55000,-0.025396,49345,1,1
11786,2001-05-24,78486Q10,29.51000,-0.001354,49345,1,1
11786,2001-05-25,78486Q10,29.21000,-0.010166,49345,1,1
11786,2001-05-29,78486Q10,28.80000,-0.014036,49345,1,1
11786,2001-05-30,78486Q10,27.10000,-0.059028,49345,1,1
11786,2001-05-31,78486Q10,27.65000,0.020295,49345,1,1
11786,2001-06-01,78486Q10,27.77000,0.004340,49345,1,1
11786,2001-06-04,78486Q10,28.09000,0.011523,49345,1,1
11786,2001-06-05,78486Q10,28.80000,0.025276,49345,1,1
11786,2001-06-06,78486Q10,28.54000,-0.009028,49345,1,1
11786,2001-06-07,78486Q10,28.46000,-0.002803,49345,1,1
11786,2001-06-08,78486Q10,28.53000,0.002460,49345,1,1
11786,2001-06-11,78486Q10,27.43000,-0.038556,49345,1,1
11786,2001-06-12,78486Q10,27.72000,0.010572,49345,1,1
11786,2001-06-13,78486Q10,27.60000,-0.004329,49345,1,1
11786,2001-06-14,78486Q10,26.95000,-0.023551,49345,1,1
11786,2001-06-15,78486Q10,26.95000,0.000000,49345,1,1
11786,2001-06-18,78486Q10,26.80000,-0.005566,49345,1,1
11786,2001-06-19,78486Q10,26.64000,-0.005970,49345,1,1
11786,2001-06-20,78486Q10,26.06000,-0.021772,49345,1,1
11786,2001-06-21,78486Q10,25.86000,-0.007675,49345,1,1
11786,2001-06-22,78486Q10,22.05000,-0.147332,49345,1,1
11786,2001-06-25,78486Q10,22.01000,-0.001814,49345,1,1
11786,2001-06-26,78486Q10,21.80000,-0.009541,49345,1,1
11786,2001-06-27,78486Q10,21.60000,-0.009174,49345,1,1
11786,2001-06-28,78486Q10,21.48000,-0.005556,49345,1,1
11786,2001-06-29,78486Q10,22.00000,0.024209,48518,1,1
11786,2001-07-02,78486Q10,20.55000,-0.065909,48518,1,1
11786,2001-07-03,78486Q10,20.14000,-0.019951,48518,1,1
11786,2001-07-05,78486Q10,19.97000,-0.008441,48518,1,1
11786,2001-07-06,78486Q10,19.73000,-0.012018,48518,1,1
11786,2001-07-09,78486Q10,19.29000,-0.022301,48518,1,1
11786,2001-07-10,78486Q10,19.50000,0.010886,48518,1,1
11786,2001-07-11,78486Q10,19.50000,0.000000,48518,1,1
11786,2001-07-12,78486Q10,20.46000,0.049231,48518,1,1
11786,2001-07-13,78486Q10,20.19000,-0.013196,48518,1,1
11786,2001-07-16,78486Q10,19.81000,-0.018821,48518,1,1
11786,2001-07-17,78486Q10,19.06000,-0.037860,48518,1,1
11786,2001-07-18,78486Q10,18.95000,-0.005771,48518,1,1
11786,2001-07-19,78486Q10,18.98000,0.001583,48518,1,1
